Product Title,Product Link,Product Price,Product Rating,Product Reviews
"Samsung Galaxy Tab A11, Wifi, Android Tablet, Gray, 8GB RAM, 128GB Storage, 8.7"" Screen (KSA Version)",https://www.amazon.sa//-/en/Samsung-Galaxy-Android-Storage-Version/dp/B0FQ5XPNH7,SAR 640.53,4.4,(109)
"HONOR Pad X8b WiFi Tablet 11-Inch 90Hz FHD Display, 10100mAh Battery, 4GB RAM + 64GB Expandable Storage (Up to 1TB), SGS 5-Star Drop Resistance, 4 Speakers, 15W Fast Charging, Metal Body, Space Grey",https://www.amazon.sa//-/en/HONOR-10100mAh-Expandable-Resistance-Speakers/dp/B0GZWHPD35,SAR 799.00,4.1,(31)
"Samsung Galaxy Tab A11+, WiFi, Android Tablet, Silver, 6GB RAM, 128GB Storage, 11"" Screen (KSA Version)",https://www.amazon.sa//-/en/Samsung-Galaxy-Android-Storage-Version/dp/B0FZBHY4F7,SAR 799.00,4.0,(51)
"HUAWEI MatePad SE 11'' 4+128GB Grey Tablet, FullView Display, Large Capacity Battery, Without Pen, 1-Year Amazon Exclusive Huawei Care+",https://www.amazon.sa//-/en/HUAWEI-MatePad-FullView-Capacity-Exclusive/dp/B0G9VMXB18,SAR 699.00,4.6,(5)
"HUAWEI MatePad 11.5 2025 Tablet 2.5K 120Hz Eye Comfort PaperMatte Display, 8+256GB, 10100 mAh Battery,40W SuperCharge, WiFi 6, Bluetooth 5.2, WPS Office, Note,Quad Speakers,HUAWEI Care+, Grey",https://www.amazon.sa//-/en/HUAWEI-PaperMatte-SuperCharge-Bluetooth-Speakers/dp/B0FHQGN2ZS,SAR 939.00,4.1,(20)
"HUAWEI MatePad SE 11'' 8+128GB Nebula Grey Tablet, FullView Display, Large Capacity Battery, 1-Year Amazon Exclusive Huawei Care+",https://www.amazon.sa//-/en/HUAWEI-MatePad-FullView-Capacity-Exclusive/dp/B0GFWRDWZD,SAR 765.00,4.4,(13)
"Android Tablet 11″ – Philips T7310, 8GB RAM + 128GB ROM, 1TB Expandable, Octa-Core T616, 7200mAh Battery, HD Eye Protection Display, WiFi 6, Dual Cameras, Android 16, Gemini AI (T7310-WIFI)",https://www.amazon.sa//-/en/Android-Tablet-11%E2%80%B3-Expandable-Protection/dp/B0GPCHFPSH,SAR 599.00,3.5,(9)
"HONOR PAD X9a, 11.5"" HONOR Fullview Display, 8300mAh Long Life, Thin Metal Design, Grey, WIFI",https://www.amazon.sa//-/en/HONOR-Fullview-Display-8300mAh-Design/dp/B0FQCSLX87,SAR 805.15,4.6,(60)
"HONOR Pad 9 5G, 12.1"", 128GB 8GB Ram, Space Grey",https://www.amazon.sa//-/en/HONOR-12-1-128GB-Space-Grey/dp/B0H2MZ9ZKV,"SAR 1,005.88",5.0,(3)
"Lenovo Idea Tab, 11 INCH, 2.5K, 2560x1600, LUNA GREY, MediaTek® Dimensity 6300 OC, 8GB Ram, 256GB Storage, WIFI, 7040 mAh Battery, with Folio Case and Pen, TB336FU, ZAFR0843SA",https://www.amazon.sa//-/en/Lenovo-2560x1600-MediaTek%C2%AE-TB336FU-ZAFR0843SA/dp/B0FRNB54XY,"SAR 1,199.00",4.8,(9)
"Tablet 2026 World's First Android 16 Tablet with Gemini AI, 11 Inch FHD Display, 24GB RAM 128GB ROM /2TB TF, T7250 CPU+13MP Camera, 8000mAh, Widevine L1, 2 in 1 Tablets with Stylus",https://www.amazon.sa//-/en/Android-Display-8000mAh-Widevine-Tablets/dp/B0F137P9DJ,SAR 999.99,4.5,(529)
"TABWEE T90 Android 16 Tablet - 11 Inch FHD Display, 24GB RAM+128GB ROM /2TB TF, 13MP Camera, 8000mAh, Widevine L1, Gemini AI, GPS, Tablet with Keyboard and Pen",https://www.amazon.sa//-/en/TABWEE-T90-Android-16-Tablet/dp/B0FH22N7GK,SAR 699.99,4.5,(1K)
"HONOR Magic Pad 3 13.3"" Tablet with Magic Pencil & Smart Keyboard, 16GB RAM 512GB Storage, 165Hz 3.2K Eye Comfort Display, Snapdragon 8 Gen 3, 12450mAh Battery, 8 Speakers, PC-Level Productivity, Gray",https://www.amazon.sa//-/en/HONOR-Keyboard-Snapdragon-12450mAh-Productivity/dp/B0FMY8QNNX,"SAR 2,899.00",4.4,(11)
Redmi Pad 2 9.7 Graphite Gray 4GB RAM 64GB WiFi Inbox Cover - Global Version,https://www.amazon.sa//-/en/Redmi-Graphite-Gray-Inbox-Cover/dp/B0GXZF1HDJ,SAR 524.99,4.0,(1)
HONOR Pad 10 12.1 Inch Wi-Fi Tablet 8GB RAM 256GB ROM Gray Bundle with Free Keyboard Case & Honor Choice Pencil - UAE Version,https://www.amazon.sa//-/en/HONOR-Tablet-Bundle-Keyboard-Choice/dp/B0FDH43N59,"SAR 1,383.90",3.6,(183)
"XIAOMI Pad 7 8+ 256GB Mi Tablet, Display 11.2 Inches, Standby Time up to 33.9 Days, Colour: Gray",https://www.amazon.sa//-/en/XIAOMI-Tablet-Display-Inches-Standby/dp/B0DY6PMT6D,"SAR 1,259.00",4.6,(159)
"TABWEE Tablet 10 Inch Android 16 Tablet with Keyboard, 24GB RAM (8+16GB Ext.) 256GB ROM (2TB TF Expand), Octa-Core 2 in 1 Android Tablet, 5G WiFi, 5000mAh, GPS, Gemini AI, Space Gray",https://www.amazon.sa//-/en/TABWEE-Android-Keyboard-Octa-Core-5000mAh/dp/B0F991H9R9,SAR 399.99,4.4,(191)
"Xiaomi Pad 7 8+ 256GB Mi Tablet, Display 12.1 Inches, Standby Time up to 33.9 Days, Blue",https://www.amazon.sa//-/en/Xiaomi-Tablet-Display-Inches-Standby/dp/B0F4254MG1,"SAR 1,298.00",3.9,(18)
"Samsung Galaxy Tab A11+, 27.82 cm (11 inch) Display, 8 GB RAM, 256 GB Storage, 90Hz Refresh Rate, AI with Google Gemini, Dolby Atmos, Quad Speakers, Wi-Fi + 5G Tablet | International Version (Gray)",https://www.amazon.sa//-/en/Samsung-Display-Storage-Speakers-International/dp/B0G1C5TGDS,"SAR 1,274.00",4.4,(111)
"Lenovo Tab One with Clear Case, 9"" HD (1340x800) IPS 480nits Anti-fingerprint, Touch display, MediaTek Helio G85 processor, 4GB RAM, 128GB, Android 14 - [ZAF00123AE], Luna Grey",https://www.amazon.sa//-/en/Lenovo-1340x800-Anti-fingerprint-MediaTek-processor/dp/B0FG1NN154,SAR 575.00,4.4,(30)
"TABWEE T60 Android 16 Tablet with Keyboard, 12.2 Inch QHD+ Display (1600x2400), 48GB RAM 256GB ROM, 10000mAh Battery, 4G Tablet with SIM Card Slot, 16MP Camera, Gemini AI, GPS (4-Year Warranty）",https://www.amazon.sa//-/en/TABWEE-T60-Keyboard-1600x2400-Warranty%EF%BC%89/dp/B0FVL67HHY,SAR 899.99,4.7,(119)
Lenovo Tab One Tablet | 8.7 Inch 1340 x 800 LCD Display | MediaTek Helio G85 | 4GB RAM | 64GB Memory | Android 14 | Luna Grey | Includes Folio Case,https://www.amazon.sa//-/en/Lenovo-Tab-One-Display-MediaTek/dp/B0F5WZRFFT,SAR 398.48,3.8,(212)
"HONOR Pad 10 12.1"" 2.5K Tablet (120Hz Eye-Care Display), Snapdragon 7 Gen 3, 10100mAh Battery, Android 15 Wi-Fi Tablet – High-Performance Entertainment & Productivity Pad",https://www.amazon.sa//-/en/HONOR-Eye-Care-Display-Snapdragon-10100mAh/dp/B0FBC5FXBP,"SAR 1,155.64",4.6,(103)
"Samsung Galaxy Tab S10+, AI Tablet, Android Tablet, WIFI, 12GB RAM, 256GB Storage, AMOLED Display, Anti-reflection, Durable, S Pen Included, Moonstone Gray (KSA Version)",https://www.amazon.sa//-/en/Samsung-Android-Anti-reflection-Included-Moonstone/dp/B0DJD3W51Q,"SAR 3,164.44",4.6,(86)
"Samsung Galaxy Tab A11, Wifi, Android Tablet, Gray, 8GB RAM, 128GB Storage, 8.7"" Screen (KSA Version)",https://www.amazon.sa//-/en/Samsung-Galaxy-Android-Storage-Version/dp/B0FQ5XPNH7,SAR 640.53,4.4,(109)
"HONOR Pad X8b WiFi Tablet 11-Inch 90Hz FHD Display, 10100mAh Battery, 4GB RAM + 64GB Expandable Storage (Up to 1TB), SGS 5-Star Drop Resistance, 4 Speakers, 15W Fast Charging, Metal Body, Space Grey",https://www.amazon.sa//-/en/HONOR-10100mAh-Expandable-Resistance-Speakers/dp/B0GZWHPD35,SAR 799.00,4.1,(31)
"Samsung Galaxy Tab A11+, WiFi, Android Tablet, Silver, 6GB RAM, 128GB Storage, 11"" Screen (KSA Version)",https://www.amazon.sa//-/en/Samsung-Galaxy-Android-Storage-Version/dp/B0FZBHY4F7,SAR 799.00,4.0,(51)
"HUAWEI MatePad SE 11'' 4+128GB Grey Tablet, FullView Display, Large Capacity Battery, Without Pen, 1-Year Amazon Exclusive Huawei Care+",https://www.amazon.sa//-/en/HUAWEI-MatePad-FullView-Capacity-Exclusive/dp/B0G9VMXB18,SAR 699.00,4.6,(5)
"HUAWEI MatePad 11.5 2025 Tablet 2.5K 120Hz Eye Comfort PaperMatte Display, 8+256GB, 10100 mAh Battery,40W SuperCharge, WiFi 6, Bluetooth 5.2, WPS Office, Note,Quad Speakers,HUAWEI Care+, Grey",https://www.amazon.sa//-/en/HUAWEI-PaperMatte-SuperCharge-Bluetooth-Speakers/dp/B0FHQGN2ZS,SAR 939.00,4.1,(20)
"HUAWEI MatePad SE 11'' 8+128GB Nebula Grey Tablet, FullView Display, Large Capacity Battery, 1-Year Amazon Exclusive Huawei Care+",https://www.amazon.sa//-/en/HUAWEI-MatePad-FullView-Capacity-Exclusive/dp/B0GFWRDWZD,SAR 765.00,4.4,(13)
"Android Tablet 11″ – Philips T7310, 8GB RAM + 128GB ROM, 1TB Expandable, Octa-Core T616, 7200mAh Battery, HD Eye Protection Display, WiFi 6, Dual Cameras, Android 16, Gemini AI (T7310-WIFI)",https://www.amazon.sa//-/en/Android-Tablet-11%E2%80%B3-Expandable-Protection/dp/B0GPCHFPSH,SAR 599.00,3.5,(9)
"HONOR PAD X9a, 11.5"" HONOR Fullview Display, 8300mAh Long Life, Thin Metal Design, Grey, WIFI",https://www.amazon.sa//-/en/HONOR-Fullview-Display-8300mAh-Design/dp/B0FQCSLX87,SAR 805.15,4.6,(60)
"HONOR Pad 9 5G, 12.1"", 128GB 8GB Ram, Space Grey",https://www.amazon.sa//-/en/HONOR-12-1-128GB-Space-Grey/dp/B0H2MZ9ZKV,"SAR 1,005.88",5.0,(3)
"Lenovo Idea Tab, 11 INCH, 2.5K, 2560x1600, LUNA GREY, MediaTek® Dimensity 6300 OC, 8GB Ram, 256GB Storage, WIFI, 7040 mAh Battery, with Folio Case and Pen, TB336FU, ZAFR0843SA",https://www.amazon.sa//-/en/Lenovo-2560x1600-MediaTek%C2%AE-TB336FU-ZAFR0843SA/dp/B0FRNB54XY,"SAR 1,199.00",4.8,(9)
"Tablet 2026 World's First Android 16 Tablet with Gemini AI, 11 Inch FHD Display, 24GB RAM 128GB ROM /2TB TF, T7250 CPU+13MP Camera, 8000mAh, Widevine L1, 2 in 1 Tablets with Stylus",https://www.amazon.sa//-/en/Android-Display-8000mAh-Widevine-Tablets/dp/B0F137P9DJ,SAR 999.99,4.5,(529)
"TABWEE T90 Android 16 Tablet - 11 Inch FHD Display, 24GB RAM+128GB ROM /2TB TF, 13MP Camera, 8000mAh, Widevine L1, Gemini AI, GPS, Tablet with Keyboard and Pen",https://www.amazon.sa//-/en/TABWEE-T90-Android-16-Tablet/dp/B0FH22N7GK,SAR 699.99,4.5,(1K)
"HONOR Magic Pad 3 13.3"" Tablet with Magic Pencil & Smart Keyboard, 16GB RAM 512GB Storage, 165Hz 3.2K Eye Comfort Display, Snapdragon 8 Gen 3, 12450mAh Battery, 8 Speakers, PC-Level Productivity, Gray",https://www.amazon.sa//-/en/HONOR-Keyboard-Snapdragon-12450mAh-Productivity/dp/B0FMY8QNNX,"SAR 2,899.00",4.4,(11)
Redmi Pad 2 9.7 Graphite Gray 4GB RAM 64GB WiFi Inbox Cover - Global Version,https://www.amazon.sa//-/en/Redmi-Graphite-Gray-Inbox-Cover/dp/B0GXZF1HDJ,SAR 524.99,4.0,(1)
HONOR Pad 10 12.1 Inch Wi-Fi Tablet 8GB RAM 256GB ROM Gray Bundle with Free Keyboard Case & Honor Choice Pencil - UAE Version,https://www.amazon.sa//-/en/HONOR-Tablet-Bundle-Keyboard-Choice/dp/B0FDH43N59,"SAR 1,383.90",3.6,(183)
"XIAOMI Pad 7 8+ 256GB Mi Tablet, Display 11.2 Inches, Standby Time up to 33.9 Days, Colour: Gray",https://www.amazon.sa//-/en/XIAOMI-Tablet-Display-Inches-Standby/dp/B0DY6PMT6D,"SAR 1,259.00",4.6,(159)
"TABWEE Tablet 10 Inch Android 16 Tablet with Keyboard, 24GB RAM (8+16GB Ext.) 256GB ROM (2TB TF Expand), Octa-Core 2 in 1 Android Tablet, 5G WiFi, 5000mAh, GPS, Gemini AI, Space Gray",https://www.amazon.sa//-/en/TABWEE-Android-Keyboard-Octa-Core-5000mAh/dp/B0F991H9R9,SAR 399.99,4.4,(191)
"Xiaomi Pad 7 8+ 256GB Mi Tablet, Display 12.1 Inches, Standby Time up to 33.9 Days, Blue",https://www.amazon.sa//-/en/Xiaomi-Tablet-Display-Inches-Standby/dp/B0F4254MG1,"SAR 1,298.00",3.9,(18)
"Samsung Galaxy Tab A11+, 27.82 cm (11 inch) Display, 8 GB RAM, 256 GB Storage, 90Hz Refresh Rate, AI with Google Gemini, Dolby Atmos, Quad Speakers, Wi-Fi + 5G Tablet | International Version (Gray)",https://www.amazon.sa//-/en/Samsung-Display-Storage-Speakers-International/dp/B0G1C5TGDS,"SAR 1,274.00",4.4,(111)
"Lenovo Tab One with Clear Case, 9"" HD (1340x800) IPS 480nits Anti-fingerprint, Touch display, MediaTek Helio G85 processor, 4GB RAM, 128GB, Android 14 - [ZAF00123AE], Luna Grey",https://www.amazon.sa//-/en/Lenovo-1340x800-Anti-fingerprint-MediaTek-processor/dp/B0FG1NN154,SAR 575.00,4.4,(30)
"TABWEE T60 Android 16 Tablet with Keyboard, 12.2 Inch QHD+ Display (1600x2400), 48GB RAM 256GB ROM, 10000mAh Battery, 4G Tablet with SIM Card Slot, 16MP Camera, Gemini AI, GPS (4-Year Warranty）",https://www.amazon.sa//-/en/TABWEE-T60-Keyboard-1600x2400-Warranty%EF%BC%89/dp/B0FVL67HHY,SAR 899.99,4.7,(119)
Lenovo Tab One Tablet | 8.7 Inch 1340 x 800 LCD Display | MediaTek Helio G85 | 4GB RAM | 64GB Memory | Android 14 | Luna Grey | Includes Folio Case,https://www.amazon.sa//-/en/Lenovo-Tab-One-Display-MediaTek/dp/B0F5WZRFFT,SAR 398.48,3.8,(212)
"HONOR Pad 10 12.1"" 2.5K Tablet (120Hz Eye-Care Display), Snapdragon 7 Gen 3, 10100mAh Battery, Android 15 Wi-Fi Tablet – High-Performance Entertainment & Productivity Pad",https://www.amazon.sa//-/en/HONOR-Eye-Care-Display-Snapdragon-10100mAh/dp/B0FBC5FXBP,"SAR 1,155.64",4.6,(103)
"Samsung Galaxy Tab S10+, AI Tablet, Android Tablet, WIFI, 12GB RAM, 256GB Storage, AMOLED Display, Anti-reflection, Durable, S Pen Included, Moonstone Gray (KSA Version)",https://www.amazon.sa//-/en/Samsung-Android-Anti-reflection-Included-Moonstone/dp/B0DJD3W51Q,"SAR 3,164.44",4.6,(86)
"Samsung Galaxy Tab A11, Wifi, Android Tablet, Gray, 8GB RAM, 128GB Storage, 8.7"" Screen (KSA Version)",https://www.amazon.sa//-/en/Samsung-Galaxy-Android-Storage-Version/dp/B0FQ5XPNH7,SAR 640.53,4.4,(109)
"HONOR Pad X8b WiFi Tablet 11-Inch 90Hz FHD Display, 10100mAh Battery, 4GB RAM + 64GB Expandable Storage (Up to 1TB), SGS 5-Star Drop Resistance, 4 Speakers, 15W Fast Charging, Metal Body, Space Grey",https://www.amazon.sa//-/en/HONOR-10100mAh-Expandable-Resistance-Speakers/dp/B0GZWHPD35,SAR 799.00,4.1,(31)
"Samsung Galaxy Tab A11+, WiFi, Android Tablet, Silver, 6GB RAM, 128GB Storage, 11"" Screen (KSA Version)",https://www.amazon.sa//-/en/Samsung-Galaxy-Android-Storage-Version/dp/B0FZBHY4F7,SAR 799.00,4.0,(51)
"HUAWEI MatePad SE 11'' 4+128GB Grey Tablet, FullView Display, Large Capacity Battery, Without Pen, 1-Year Amazon Exclusive Huawei Care+",https://www.amazon.sa//-/en/HUAWEI-MatePad-FullView-Capacity-Exclusive/dp/B0G9VMXB18,SAR 699.00,4.6,(5)
"HUAWEI MatePad 11.5 2025 Tablet 2.5K 120Hz Eye Comfort PaperMatte Display, 8+256GB, 10100 mAh Battery,40W SuperCharge, WiFi 6, Bluetooth 5.2, WPS Office, Note,Quad Speakers,HUAWEI Care+, Grey",https://www.amazon.sa//-/en/HUAWEI-PaperMatte-SuperCharge-Bluetooth-Speakers/dp/B0FHQGN2ZS,SAR 939.00,4.1,(20)
"HUAWEI MatePad SE 11'' 8+128GB Nebula Grey Tablet, FullView Display, Large Capacity Battery, 1-Year Amazon Exclusive Huawei Care+",https://www.amazon.sa//-/en/HUAWEI-MatePad-FullView-Capacity-Exclusive/dp/B0GFWRDWZD,SAR 765.00,4.4,(13)
"Android Tablet 11″ – Philips T7310, 8GB RAM + 128GB ROM, 1TB Expandable, Octa-Core T616, 7200mAh Battery, HD Eye Protection Display, WiFi 6, Dual Cameras, Android 16, Gemini AI (T7310-WIFI)",https://www.amazon.sa//-/en/Android-Tablet-11%E2%80%B3-Expandable-Protection/dp/B0GPCHFPSH,SAR 599.00,3.5,(9)
"HONOR PAD X9a, 11.5"" HONOR Fullview Display, 8300mAh Long Life, Thin Metal Design, Grey, WIFI",https://www.amazon.sa//-/en/HONOR-Fullview-Display-8300mAh-Design/dp/B0FQCSLX87,SAR 805.15,4.6,(60)
"HONOR Pad 9 5G, 12.1"", 128GB 8GB Ram, Space Grey",https://www.amazon.sa//-/en/HONOR-12-1-128GB-Space-Grey/dp/B0H2MZ9ZKV,"SAR 1,005.88",5.0,(3)
"Lenovo Idea Tab, 11 INCH, 2.5K, 2560x1600, LUNA GREY, MediaTek® Dimensity 6300 OC, 8GB Ram, 256GB Storage, WIFI, 7040 mAh Battery, with Folio Case and Pen, TB336FU, ZAFR0843SA",https://www.amazon.sa//-/en/Lenovo-2560x1600-MediaTek%C2%AE-TB336FU-ZAFR0843SA/dp/B0FRNB54XY,"SAR 1,199.00",4.8,(9)
"Tablet 2026 World's First Android 16 Tablet with Gemini AI, 11 Inch FHD Display, 24GB RAM 128GB ROM /2TB TF, T7250 CPU+13MP Camera, 8000mAh, Widevine L1, 2 in 1 Tablets with Stylus",https://www.amazon.sa//-/en/Android-Display-8000mAh-Widevine-Tablets/dp/B0F137P9DJ,SAR 999.99,4.5,(529)
"TABWEE T90 Android 16 Tablet - 11 Inch FHD Display, 24GB RAM+128GB ROM /2TB TF, 13MP Camera, 8000mAh, Widevine L1, Gemini AI, GPS, Tablet with Keyboard and Pen",https://www.amazon.sa//-/en/TABWEE-T90-Android-16-Tablet/dp/B0FH22N7GK,SAR 699.99,4.5,(1K)
"HONOR Magic Pad 3 13.3"" Tablet with Magic Pencil & Smart Keyboard, 16GB RAM 512GB Storage, 165Hz 3.2K Eye Comfort Display, Snapdragon 8 Gen 3, 12450mAh Battery, 8 Speakers, PC-Level Productivity, Gray",https://www.amazon.sa//-/en/HONOR-Keyboard-Snapdragon-12450mAh-Productivity/dp/B0FMY8QNNX,"SAR 2,899.00",4.4,(11)
Redmi Pad 2 9.7 Graphite Gray 4GB RAM 64GB WiFi Inbox Cover - Global Version,https://www.amazon.sa//-/en/Redmi-Graphite-Gray-Inbox-Cover/dp/B0GXZF1HDJ,SAR 524.99,4.0,(1)
HONOR Pad 10 12.1 Inch Wi-Fi Tablet 8GB RAM 256GB ROM Gray Bundle with Free Keyboard Case & Honor Choice Pencil - UAE Version,https://www.amazon.sa//-/en/HONOR-Tablet-Bundle-Keyboard-Choice/dp/B0FDH43N59,"SAR 1,383.90",3.6,(183)
"XIAOMI Pad 7 8+ 256GB Mi Tablet, Display 11.2 Inches, Standby Time up to 33.9 Days, Colour: Gray",https://www.amazon.sa//-/en/XIAOMI-Tablet-Display-Inches-Standby/dp/B0DY6PMT6D,"SAR 1,259.00",4.6,(159)
"TABWEE Tablet 10 Inch Android 16 Tablet with Keyboard, 24GB RAM (8+16GB Ext.) 256GB ROM (2TB TF Expand), Octa-Core 2 in 1 Android Tablet, 5G WiFi, 5000mAh, GPS, Gemini AI, Space Gray",https://www.amazon.sa//-/en/TABWEE-Android-Keyboard-Octa-Core-5000mAh/dp/B0F991H9R9,SAR 399.99,4.4,(191)
"Xiaomi Pad 7 8+ 256GB Mi Tablet, Display 12.1 Inches, Standby Time up to 33.9 Days, Blue",https://www.amazon.sa//-/en/Xiaomi-Tablet-Display-Inches-Standby/dp/B0F4254MG1,"SAR 1,298.00",3.9,(18)
"Samsung Galaxy Tab A11+, 27.82 cm (11 inch) Display, 8 GB RAM, 256 GB Storage, 90Hz Refresh Rate, AI with Google Gemini, Dolby Atmos, Quad Speakers, Wi-Fi + 5G Tablet | International Version (Gray)",https://www.amazon.sa//-/en/Samsung-Display-Storage-Speakers-International/dp/B0G1C5TGDS,"SAR 1,274.00",4.4,(111)
"Lenovo Tab One with Clear Case, 9"" HD (1340x800) IPS 480nits Anti-fingerprint, Touch display, MediaTek Helio G85 processor, 4GB RAM, 128GB, Android 14 - [ZAF00123AE], Luna Grey",https://www.amazon.sa//-/en/Lenovo-1340x800-Anti-fingerprint-MediaTek-processor/dp/B0FG1NN154,SAR 575.00,4.4,(30)
"TABWEE T60 Android 16 Tablet with Keyboard, 12.2 Inch QHD+ Display (1600x2400), 48GB RAM 256GB ROM, 10000mAh Battery, 4G Tablet with SIM Card Slot, 16MP Camera, Gemini AI, GPS (4-Year Warranty）",https://www.amazon.sa//-/en/TABWEE-T60-Keyboard-1600x2400-Warranty%EF%BC%89/dp/B0FVL67HHY,SAR 899.99,4.7,(119)
Lenovo Tab One Tablet | 8.7 Inch 1340 x 800 LCD Display | MediaTek Helio G85 | 4GB RAM | 64GB Memory | Android 14 | Luna Grey | Includes Folio Case,https://www.amazon.sa//-/en/Lenovo-Tab-One-Display-MediaTek/dp/B0F5WZRFFT,SAR 398.48,3.8,(212)
"HONOR Pad 10 12.1"" 2.5K Tablet (120Hz Eye-Care Display), Snapdragon 7 Gen 3, 10100mAh Battery, Android 15 Wi-Fi Tablet – High-Performance Entertainment & Productivity Pad",https://www.amazon.sa//-/en/HONOR-Eye-Care-Display-Snapdragon-10100mAh/dp/B0FBC5FXBP,"SAR 1,155.64",4.6,(103)
"Samsung Galaxy Tab S10+, AI Tablet, Android Tablet, WIFI, 12GB RAM, 256GB Storage, AMOLED Display, Anti-reflection, Durable, S Pen Included, Moonstone Gray (KSA Version)",https://www.amazon.sa//-/en/Samsung-Android-Anti-reflection-Included-Moonstone/dp/B0DJD3W51Q,"SAR 3,164.44",4.6,(86)
